Date,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,SP500,Unemployment
1/2/90,7.79,7.83,7.89,7.81,7.87,7.90,7.87,7.98,7.94,7.97,8.00,359.69,5.4
1/3/90,7.86,7.89,7.94,7.85,7.94,7.96,7.92,8.04,7.99,8.02,8.04,358.76,5.4
1/4/90,7.80,7.84,7.90,7.82,7.92,7.93,7.91,8.02,7.98,8.01,8.04,355.67,5.4
1/5/90,7.75,7.79,7.85,7.79,7.90,7.94,7.92,8.03,7.99,8.03,8.06,352.20,5.4
1/8/90,7.73,7.79,7.88,7.81,7.90,7.95,7.92,8.05,8.02,8.06,8.09,353.79,5.4
1/9/90,7.79,7.80,7.82,7.78,7.91,7.94,7.92,8.05,8.02,8.06,8.10,349.62,5.4
1/10/90,7.73,7.75,7.78,7.77,7.91,7.95,7.92,8.00,8.03,8.07,8.11,347.31,5.4
1/11/90,7.80,7.80,7.80,7.77,7.91,7.95,7.94,8.01,8.04,8.08,8.11,348.53,5.4
1/12/90,7.69,7.74,7.81,7.76,7.93,7.98,7.99,8.07,8.10,8.14,8.17,339.93,5.4
1/16/90,7.82,7.89,7.99,7.92,8.10,8.13,8.11,8.18,8.20,8.23,8.25,340.75,5.4
1/17/90,7.97,7.97,7.97,7.91,8.09,8.11,8.11,8.17,8.19,8.22,8.25,337.40,5.4
1/18/90,8.01,8.04,8.08,8.05,8.25,8.28,8.27,8.31,8.32,8.34,8.35,338.19,5.4
1/19/90,7.99,8.00,8.01,8.00,8.20,8.23,8.20,8.24,8.26,8.28,8.29,339.15,5.4
1/22/90,7.99,7.99,7.99,7.98,8.18,8.20,8.19,8.25,8.27,8.29,8.31,330.38,5.4
1/23/90,7.90,7.93,7.97,7.97,8.18,8.20,8.18,8.23,8.26,8.28,8.29,331.61,5.4
1/24/90,7.89,7.93,7.99,8.00,8.20,8.29,8.28,8.34,8.38,8.40,8.41,330.26,5.4
1/25/90,7.91,7.95,8.01,8.03,8.24,8.32,8.31,8.39,8.42,8.44,8.46,326.08,5.4
1/26/90,7.86,7.93,8.04,8.07,8.28,8.38,8.38,8.45,8.49,8.52,8.55,325.80,5.4
1/29/90,7.94,8.00,8.09,8.08,8.30,8.39,8.39,8.45,8.50,8.52,8.54,325.20,5.4
1/30/90,7.91,8.00,8.14,8.09,8.30,8.39,8.43,8.47,8.51,8.53,8.55,322.98,5.4
1/31/90,7.91,8.00,8.13,8.08,8.28,8.36,8.35,8.39,8.43,8.45,8.46,329.08,5.4
2/1/90,7.95,8.02,8.13,8.09,8.28,8.35,8.35,8.38,8.42,8.43,8.44,328.79,5.3
2/2/90,8.00,8.07,8.17,8.13,8.37,8.43,8.42,8.46,8.50,8.51,8.51,330.92,5.3
2/5/90,8.01,8.08,8.18,8.15,8.37,8.43,8.44,8.48,8.53,8.53,8.53,331.85,5.3
2/6/90,8.04,8.09,8.17,8.15,8.42,8.43,8.49,8.52,8.57,8.58,8.58,329.66,5.3
2/7/90,8.01,8.08,8.19,8.17,8.42,8.43,8.51,8.53,8.52,8.55,8.57,333.75,5.3
2/8/90,8.01,8.08,8.18,8.13,8.37,8.39,8.45,8.48,8.49,8.50,8.50,332.96,5.3
2/9/90,7.97,8.02,8.09,8.03,8.25,8.24,8.29,8.34,8.31,8.34,8.36,333.62,5.3
2/12/90,7.91,7.99,8.11,8.06,8.32,8.32,8.37,8.41,8.40,8.42,8.43,330.08,5.3
2/13/90,7.75,7.84,7.97,7.95,8.21,8.21,8.29,8.36,8.35,8.37,8.39,331.02,5.3
2/14/90,7.78,7.87,8.00,8.03,8.27,8.27,8.34,8.36,8.36,8.39,8.41,332.01,5.3
2/15/90,7.90,7.97,8.08,8.11,8.35,8.35,8.40,8.44,8.43,8.45,8.47,334.89,5.3
2/16/90,7.85,7.94,8.07,8.09,8.36,8.34,8.41,8.43,8.42,8.44,8.46,332.72,5.3
2/20/90,7.97,8.06,8.20,8.24,8.52,8.52,8.58,8.63,8.62,8.64,8.66,327.99,5.3
2/21/90,7.89,8.01,8.19,8.22,8.50,8.52,8.60,8.63,8.62,8.64,8.66,327.67,5.3
2/22/90,7.88,7.99,8.15,8.17,8.45,8.48,8.48,8.57,8.54,8.55,8.56,325.70,5.3
2/23/90,7.82,7.93,8.09,8.11,8.43,8.45,8.47,8.56,8.53,8.55,8.56,324.15,5.3
2/26/90,7.89,7.97,8.09,8.10,8.38,8.40,8.40,8.49,8.46,8.48,8.49,328.67,5.3
2/27/90,7.92,7.99,8.10,8.06,8.34,8.34,8.34,8.43,8.41,8.43,8.45,330.26,5.3
2/28/90,7.97,8.04,8.14,8.12,8.43,8.45,8.44,8.54,8.51,8.53,8.54,331.89,5.3
3/1/90,8.01,8.08,8.19,8.21,8.53,8.53,8.53,8.62,8.59,8.60,8.61,332.74,5.2
3/2/90,7.92,8.02,8.17,8.22,8.48,8.50,8.50,8.57,8.54,8.55,8.55,335.54,5.2
3/5/90,7.97,8.09,8.27,8.31,8.55,8.59,8.58,8.69,8.65,8.66,8.66,333.74,5.2
3/6/90,8.12,8.17,8.24,8.31,8.54,8.56,8.57,8.64,8.59,8.59,8.59,337.93,5.2
3/7/90,8.15,8.18,8.22,8.29,8.54,8.55,8.56,8.63,8.58,8.58,8.58,336.95,5.2
3/8/90,8.14,8.18,8.24,8.35,8.59,8.58,8.57,8.62,8.57,8.57,8.56,340.27,5.2
3/9/90,8.21,8.26,8.33,8.46,8.73,8.71,8.68,8.71,8.65,8.64,8.63,337.93,5.2
3/12/90,8.21,8.26,8.33,8.44,8.71,8.70,8.67,8.70,8.63,8.63,8.62,338.67,5.2
3/13/90,8.21,8.26,8.34,8.48,8.77,8.77,8.75,8.78,8.73,8.73,8.72,336.00,5.2
3/14/90,8.18,8.23,8.31,8.41,8.69,8.70,8.67,8.71,8.65,8.63,8.61,336.87,5.2
3/15/90,8.14,8.21,8.32,8.41,8.71,8.70,8.69,8.73,8.66,8.65,8.63,338.07,5.2
3/16/90,8.12,8.19,8.29,8.36,8.64,8.62,8.61,8.64,8.59,8.57,8.55,341.91,5.2
3/19/90,8.15,8.22,8.32,8.38,8.68,8.66,8.65,8.66,8.59,8.57,8.54,343.53,5.2
3/20/90,8.18,8.25,8.35,8.38,8.68,8.65,8.61,8.62,8.54,8.51,8.47,341.57,5.2
3/21/90,8.16,8.23,8.34,8.39,8.69,8.66,8.62,8.63,8.55,8.51,8.47,339.74,5.2
3/22/90,8.10,8.17,8.27,8.32,8.62,8.60,8.56,8.61,8.53,8.51,8.49,335.69,5.2
3/23/90,8.08,8.15,8.26,8.29,8.61,8.59,8.54,8.59,8.52,8.50,8.48,337.22,5.2
3/26/90,8.03,8.13,8.28,8.30,8.61,8.59,8.52,8.58,8.51,8.49,8.47,337.63,5.2
3/27/90,8.08,8.17,8.30,8.35,8.59,8.60,8.55,8.59,8.52,8.50,8.48,341.50,5.2
3/28/90,8.02,8.12,8.27,8.33,8.57,8.60,8.53,8.58,8.51,8.49,8.47,342.00,5.2
3/29/90,7.98,8.10,8.28,8.36,8.62,8.65,8.60,8.66,8.60,8.59,8.58,340.79,5.2
3/30/90,7.96,8.07,8.24,8.35,8.64,8.69,8.65,8.70,8.65,8.64,8.63,339.94,5.2
4/2/90,7.93,8.05,8.23,8.34,8.62,8.67,8.65,8.69,8.65,8.64,8.63,338.70,5.4
4/3/90,7.98,8.09,8.25,8.32,8.61,8.65,8.64,8.69,8.63,8.62,8.61,343.64,5.4
4/4/90,7.90,8.01,8.17,8.27,8.54,8.59,8.56,8.62,8.55,8.54,8.52,341.09,5.4
4/5/90,7.91,8.02,8.18,8.28,8.54,8.60,8.57,8.63,8.57,8.55,8.52,340.73,5.4
4/6/90,7.93,8.02,8.16,8.26,8.52,8.58,8.55,8.61,8.56,8.54,8.52,340.08,5.4
4/9/90,8.00,8.09,8.23,8.29,8.54,8.60,8.58,8.65,8.59,8.57,8.55,341.37,5.4
4/10/90,7.94,8.05,8.21,8.29,8.54,8.59,8.58,8.65,8.60,8.59,8.57,342.07,5.4
4/11/90,7.92,8.03,8.20,8.28,8.56,8.62,8.60,8.63,8.63,8.61,8.58,341.92,5.4
4/12/90,7.90,8.02,8.20,8.29,8.57,8.63,8.62,8.65,8.64,8.62,8.60,344.34,5.4
4/16/90,7.90,8.01,8.18,8.29,8.61,8.66,8.65,8.69,8.68,8.66,8.64,344.74,5.4
4/17/90,7.90,8.03,8.23,8.38,8.70,8.75,8.73,8.78,8.77,8.76,8.74,344.68,5.4
4/18/90,7.93,8.08,8.30,8.49,8.79,8.84,8.84,8.88,8.86,8.86,8.85,340.72,5.4
4/19/90,7.91,8.06,8.28,8.46,8.81,8.86,8.84,8.88,8.87,8.87,8.86,338.09,5.4
4/20/90,7.76,7.95,8.24,8.44,8.82,8.88,8.88,8.95,8.95,8.94,8.93,335.12,5.4
4/23/90,7.79,8.00,8.31,8.50,8.87,8.91,8.92,8.97,8.98,8.97,8.96,331.05,5.4
4/24/90,7.81,8.03,8.36,8.55,8.92,8.98,8.96,9.01,9.00,8.99,8.98,330.36,5.4
4/25/90,7.83,8.06,8.40,8.57,8.95,9.01,9.00,9.03,9.01,9.00,8.98,332.03,5.4
